,202403
600778.SH,-0.13066111586904045
002391.SZ,-0.1628914958370007
600857.SH,-0.1674028816310775
002054.SZ,-0.1689719095907053
600193.SH,-0.1702890107907083
002109.SZ,-0.17085608176446104
600624.SH,-0.17120097183398122
002016.SZ,-0.17144058652355487
002072.SZ,-0.17449477827817558
600620.SH,-0.1752270260403349
000553.SZ,-0.17750663888564294
600969.SH,-0.1777278491963976
600051.SH,-0.1788068014378631
002082.SZ,-0.1797013315579646
600617.SH,-0.18050525392118386
000626.SZ,-0.18110537923308073
600784.SH,-0.18264611719065132
600539.SH,-0.1834267321065925
002634.SZ,-0.1841467680545698
600714.SH,-0.18552276096891107
601368.SH,-0.1863628523099209
002286.SZ,-0.18857603970325665
002678.SZ,-0.19127819891096579
600084.SH,-0.19262008186152646
603017.SH,-0.19316589911679394
600865.SH,-0.19362206117899675
002734.SZ,-0.19390305340213343
000601.SZ,-0.1943414101553323
600847.SH,-0.19568980598057073
600722.SH,-0.19639497191059194
600681.SH,-0.19925527392740697
600370.SH,-0.20005838949657448
002404.SZ,-0.20035264119639784
000055.SZ,-0.20061530797129118
002365.SZ,-0.20083486054475497
002427.SZ,-0.20144178182508585
600382.SH,-0.2030732998547206
002661.SZ,-0.20440317371486627
000803.SZ,-0.20688887004026035
002633.SZ,-0.20812959646750684
600488.SH,-0.21097620465458994
603968.SH,-0.2115412577885985
002264.SZ,-0.21169105968083152
000720.SZ,-0.21198908879864126
600965.SH,-0.21204601249145552
002679.SZ,-0.21208268666220795
000695.SZ,-0.21230733569053756
601003.SH,-0.21256292135159058
002187.SZ,-0.21298435305724991
002188.SZ,-0.21347633432127805
000952.SZ,-0.21349132982249924
002573.SZ,-0.21441394668436714
600371.SH,-0.2154461143755882
603188.SH,-0.21585138687894131
600800.SH,-0.21815605594177132
600650.SH,-0.22005606531151317
002135.SZ,-0.2218020123747108
000809.SZ,-0.22225643862886516
600173.SH,-0.22264573705130342
603311.SH,-0.22280855152844836
002360.SZ,-0.22288315169911643
600668.SH,-0.2242615378309898
000789.SZ,-0.22443085944647567
000605.SZ,-0.22448590098883014
000753.SZ,-0.22486561703403365
002062.SZ,-0.22499002453253902
603808.SH,-0.2250063997923085
600858.SH,-0.2259144236449946
600854.SH,-0.2259681988147124
002066.SZ,-0.22631662298623034
002743.SZ,-0.22690743971543365
600834.SH,-0.22710676274032202
002695.SZ,-0.2275336604471182
603020.SH,-0.22778816898843526
002650.SZ,-0.2283283432614977
002637.SZ,-0.2284214363168895
603222.SH,-0.2286305611815882
600628.SH,-0.22937178665240027
000668.SZ,-0.22983019036265456
002267.SZ,-0.23076201409248287
002760.SZ,-0.2312943556761899
000788.SZ,-0.23202942153378664
002441.SZ,-0.23379086105418626
002169.SZ,-0.2344116362696052
601002.SH,-0.2344575207248683
002686.SZ,-0.2353866621907849
000931.SZ,-0.2360495904320009
600359.SH,-0.23802746979327458
600693.SH,-0.2382709485479628
002724.SZ,-0.23954362252187245
600796.SH,-0.24032748803583995
600333.SH,-0.24037976903737382
600802.SH,-0.24062088202667462
002399.SZ,-0.24121546411094413
600429.SH,-0.24159372025670456
000510.SZ,-0.24268787856147547
000911.SZ,-0.24293041872032917
002492.SZ,-0.2429536017849871
600855.SH,-0.2432242359488722
002753.SZ,-0.24358751565716713
000159.SZ,-0.2439368757634505
002107.SZ,-0.24443198900122154
600917.SH,-0.24460331879293545
002571.SZ,-0.2456463855027489
603223.SH,-0.24670895171795826
600768.SH,-0.24727751474516324
002144.SZ,-0.24747108943757645
600423.SH,-0.24782987108369534
600230.SH,-0.24869226856372395
000819.SZ,-0.24876330594689428
002513.SZ,-0.24943972534978215
000531.SZ,-0.25016782099874796
002581.SZ,-0.2503304561872356
600231.SH,-0.25040188475674935
600790.SH,-0.2508963275008278
600731.SH,-0.25112655767002484
002538.SZ,-0.25139108416285466
000036.SZ,-0.2516738495047028
600883.SH,-0.25196022504660437
600433.SH,-0.2519950267350923
600533.SH,-0.25229496433074755
600137.SH,-0.25266300742319814
600184.SH,-0.2533063821155291
002616.SZ,-0.2535004192602325
603010.SH,-0.2537390202915386
601579.SH,-0.253887549428625
600866.SH,-0.2541357449673127
600319.SH,-0.2541901717014031
600075.SH,-0.25433088408229715
603609.SH,-0.25468981589162726
603818.SH,-0.25500807999245373
600421.SH,-0.25518185918452246
002037.SZ,-0.2553396180947684
000501.SZ,-0.25602933792856475
000859.SZ,-0.25662261679034803
603116.SH,-0.2567172816523705
600817.SH,-0.25759795457509227
002455.SZ,-0.2578196298528729
600758.SH,-0.25787683972274744
002136.SZ,-0.2585729977211981
600227.SH,-0.2587458271987314
600403.SH,-0.2599453049585428
002278.SZ,-0.26064439243604115
000504.SZ,-0.26115817805631436
600470.SH,-0.26131448681108943
000639.SZ,-0.26287896985732423
600356.SH,-0.262917150920116
000953.SZ,-0.2632176261071476
000565.SZ,-0.2634416350553277
002718.SZ,-0.26345058237541397
002628.SZ,-0.26358065463628333
600278.SH,-0.2637207389468232
600726.SH,-0.2641121216076153
000995.SZ,-0.2642234550857709
600590.SH,-0.26436493399697036
002386.SZ,-0.2645396884211212
000520.SZ,-0.2653463882675545
600962.SH,-0.26545218470325843
000663.SZ,-0.26557629670147764
000505.SZ,-0.26566391811118756
600770.SH,-0.2660718024992018
002694.SZ,-0.26652752980095856
002205.SZ,-0.26658308925802376
600262.SH,-0.2671641568431415
600367.SH,-0.2676402086476042
603618.SH,-0.2681951396572905
002307.SZ,-0.2683561749013453
600058.SH,-0.26837763426939065
603022.SH,-0.2687268735662641
002193.SZ,-0.26933075410628426
002524.SZ,-0.26939715551356297
000545.SZ,-0.2694952321105468
002534.SZ,-0.26964610476314355
603616.SH,-0.2699455484665466
000566.SZ,-0.2705565124478113
000407.SZ,-0.27099851788638013
600305.SH,-0.27118831429249696
600076.SH,-0.27179423064746044
002069.SZ,-0.2719520075158441
002672.SZ,-0.27206167582369767
002375.SZ,-0.27302359997696435
603669.SH,-0.27312228093884233
600261.SH,-0.2739063907575943
000726.SZ,-0.27420111480329923
002346.SZ,-0.27501653511137997
603988.SH,-0.27540073931123354
002556.SZ,-0.2757955951852845
000900.SZ,-0.2759408148244432
600419.SH,-0.27613485085334705
600097.SH,-0.276819043978046
000419.SZ,-0.2775077710909561
000401.SZ,-0.27764757935081136
600644.SH,-0.27788457118879606
600682.SH,-0.27801662903547614
600180.SH,-0.27802368632981167
600337.SH,-0.27825520330860093
002225.SZ,-0.2782572095484868
002242.SZ,-0.2784341726017552
000679.SZ,-0.27890979512163455
600052.SH,-0.27929786617636
600833.SH,-0.27951759498620526
600343.SH,-0.27967504552391326
002646.SZ,-0.27989940935433055
000833.SZ,-0.27990315793299725
000702.SZ,-0.2799106537300037
002382.SZ,-0.28084823396148356
600665.SH,-0.2810236393998184
601566.SH,-0.28106331760813164
000905.SZ,-0.2812364513229841
002321.SZ,-0.2812511057295401
601616.SH,-0.2816878359634176
601177.SH,-0.28175022545964395
002216.SZ,-0.28180381424224865
600135.SH,-0.28214838989501667
002330.SZ,-0.28232056012523893
600746.SH,-0.2823764420860557
600851.SH,-0.28249834507281557
002344.SZ,-0.28321417424413897
002282.SZ,-0.28332546745755305
002265.SZ,-0.28333902495322744
601008.SH,-0.28336603628293355
603989.SH,-0.28345231259892834
600292.SH,-0.28353262649792227
000798.SZ,-0.28391803470361243
600846.SH,-0.2840225763646168
600992.SH,-0.2841734841840945
600982.SH,-0.28424735704943765
002440.SZ,-0.28449065672019314
002541.SZ,-0.2846959327903483
002677.SZ,-0.28544915620188666
002651.SZ,-0.2855107467126786
000731.SZ,-0.28610457066234657
600696.SH,-0.2862251254495586
000153.SZ,-0.2862544838921382
002208.SZ,-0.28630453801869665
600379.SH,-0.28632659258557125
600662.SH,-0.286444805446525
600676.SH,-0.28689247417127933
000880.SZ,-0.28704042365761123
002552.SZ,-0.2883307117203897
000985.SZ,-0.2883420904600211
002486.SZ,-0.2884380188693306
600573.SH,-0.2884463702562649
000590.SZ,-0.2892307833052523
600815.SH,-0.28926943998661575
002227.SZ,-0.2897675218119381
002490.SZ,-0.2900094275324602
603309.SH,-0.29013091404295643
002522.SZ,-0.29023197920094945
002084.SZ,-0.2903133301998024
000633.SZ,-0.29048631095287375
600774.SH,-0.29087651762521693
600149.SH,-0.291303604868265
002763.SZ,-0.2920210428451727
002125.SZ,-0.292091701752868
600527.SH,-0.2927497345564276
000790.SZ,-0.2928594977487504
000019.SZ,-0.2929236454421005
002040.SZ,-0.2929553423769598
000930.SZ,-0.2929702575646812
002198.SZ,-0.2931720879454864
600611.SH,-0.2932612659651095
002511.SZ,-0.2935094211022038
601218.SH,-0.29354719455605666
603898.SH,-0.2935612247364944
603901.SH,-0.2937752260254275
600082.SH,-0.29414213398271527
603566.SH,-0.2941731895646309
600618.SH,-0.29424769998945755
000672.SZ,-0.2943451287975311
002644.SZ,-0.2948543937951209
600561.SH,-0.2948921055429691
600220.SH,-0.2957457562669527
002099.SZ,-0.29588030477384536
001914.SZ,-0.2958985150495541
000910.SZ,-0.29619204315492764
002394.SZ,-0.2972571550639934
002598.SZ,-0.29735528761516516
002658.SZ,-0.29788133899338387
000869.SZ,-0.29788807808423284
002029.SZ,-0.29804519186234596
600713.SH,-0.2980795881625896
603026.SH,-0.2983602297329121
002098.SZ,-0.29883382301456274
002034.SZ,-0.29897302474079834
000608.SZ,-0.2993189794497824
600727.SH,-0.29961720214674536
002412.SZ,-0.29963659330876846
002301.SZ,-0.3003043768757015
603567.SH,-0.300380897846609
600512.SH,-0.30057222174959997
600576.SH,-0.3010792135780526
