,tapi,cci,vma,srmi,cdp,expma
000301.SZ,"366,809,783.2876",-76.2714,"389,273,989.4000",-0.0979,10.3233,10.4053
000333.SZ,"499,102,394.9079",182.3409,"459,868,110.8000",0.1804,61.1400,57.8957
000338.SZ,"951,038,876.3667",187.0315,"1,055,479,445.4000",0.3152,16.1600,14.9341
000400.SZ,"223,038,167.3336",-24.3721,"216,100,280.0000",-0.0401,20.9300,20.9910
000401.SZ,"242,731,027.2602",-151.8134,"184,318,655.6000",-0.2374,5.7500,6.3603
000402.SZ,"436,464,400.7172",-142.8795,"331,948,483.6000",-0.2495,3.3133,3.6970
000403.SZ,"122,274,720.8524",72.3480,"148,686,470.8000",0.1882,25.5033,25.5274
000404.SZ,"313,856,184.3420",-154.0122,"251,023,287.6000",-0.1554,5.3700,5.7964
000407.SZ,"250,440,454.4967",-300.3561,"212,193,019.8000",-0.1925,2.9233,3.3697
000408.SZ,"165,666,462.8440",110.8398,"170,382,908.6000",0.2154,27.2133,25.9228
000409.SZ,"421,789,632.2429",-79.7529,"498,805,717.0000",-0.0728,7.5733,8.0584
000410.SZ,"171,494,180.9873",-42.6151,"158,847,554.6000",-0.0888,6.6000,6.8903
000411.SZ,"69,864,703.9199",-224.5938,"101,013,374.2000",-0.2205,9.6433,10.7768
000413.SZ,"1,025,083,052.2222",-90.9736,"2,908,014,831.8000",0.0667,1.6967,1.9125
000415.SZ,"1,412,785,853.5870",-76.6377,"990,270,951.2000",0.0478,2.1333,2.2366
000416.SZ,"308,668,583.4496",-94.7904,"200,009,153.0000",-0.3027,1.4933,1.8108
000417.SZ,"346,824,495.7445",-158.1017,"404,280,321.8000",-0.0237,4.3800,4.7563
000419.SZ,"217,514,943.5225",-234.5268,"209,915,934.4000",-0.1716,4.2800,5.0869
000420.SZ,"461,323,688.9270",-117.9668,"463,074,343.2000",-0.2149,2.6000,2.8700
000421.SZ,"404,216,859.1021",-112.4329,"557,131,770.0000",-0.0457,4.6400,5.4440
000422.SZ,"274,435,367.9687",-127.5240,"287,656,729.8000",-0.2231,8.4167,9.5768
000423.SZ,"154,232,911.5562",227.2219,"103,566,010.0000",0.1501,57.3200,52.9489
000425.SZ,"1,293,984,048.7673",-52.2093,"1,096,185,823.2000",-0.0084,5.8167,5.8065
000426.SZ,"389,058,708.2141",-9.3083,"376,417,386.8000",-0.0227,8.5467,8.9834
000428.SZ,"338,087,160.4299",-177.9238,"445,035,852.0000",-0.2209,3.1000,3.7527
000429.SZ,"235,499,500.1112",233.8779,"189,004,141.0000",0.1736,9.5533,8.8602
000430.SZ,"170,407,890.0716",-184.5707,"133,664,798.0000",-0.2586,5.2433,6.1764
000488.SZ,"281,571,160.3792",-158.4645,"248,047,031.0000",-0.2583,3.3867,3.8327
000498.SZ,"200,267,305.0480",-115.7058,"178,118,370.6000",-0.1914,5.3933,5.7444
000501.SZ,"105,251,475.1303",-145.4143,"129,909,595.6000",-0.2457,7.3000,8.1690
000503.SZ,"314,497,683.9371",-132.1668,"461,995,073.0000",-0.1966,9.6067,11.1143
000504.SZ,"69,163,858.0691",-303.2623,"48,442,221.2000",-0.3521,7.3600,9.6215
000505.SZ,"116,659,632.4133",-168.1756,"103,631,232.4000",-0.1136,6.1933,6.7898
000506.SZ,"394,402,421.3642",-157.1111,"593,357,647.4000",-0.2117,3.0500,3.7442
000507.SZ,"234,555,347.8902",-219.7070,"181,804,755.2000",-0.1117,4.7600,5.1654
000509.SZ,"281,894,904.0964",-206.5535,"286,750,018.0000",-0.1569,2.8200,3.4178
000510.SZ,"221,473,781.1600",-214.2238,"221,770,310.4000",-0.3092,3.7267,4.7628
000513.SZ,"111,883,828.9740",44.6666,"96,841,179.6000",-0.0176,36.7300,36.1252
000514.SZ,"478,311,612.0909",-181.5581,"391,855,322.4000",-0.1105,3.2067,3.8952
000516.SZ,"470,125,330.8346",-141.5862,"437,409,381.4000",-0.3087,6.3433,7.4903
000517.SZ,"468,746,084.0655",-163.8056,"422,634,023.8000",-0.2184,2.1800,2.4738
000518.SZ,"660,038,435.6721",-163.7898,"713,666,587.2000",-0.0952,2.3167,2.8648
000519.SZ,"329,111,836.9185",-112.6182,"342,412,963.8000",-0.2844,11.9433,13.5097
000520.SZ,"211,032,463.4956",-225.8785,"380,832,358.6000",-0.2566,2.2000,2.5955
000521.SZ,"454,872,374.0674",138.4347,"451,265,504.4000",0.1336,8.0067,7.1215
000523.SZ,"272,694,949.5686",-183.0339,"414,736,301.6000",-0.0556,2.8733,3.0942
000524.SZ,"147,328,744.7037",-160.8540,"179,530,760.2000",-0.2762,7.0400,8.2460
000525.SZ,"101,444,176.7773",-136.3703,"80,752,130.8000",-0.1870,6.7267,7.6725
000526.SZ,"82,271,612.0688",171.9487,"100,342,119.4000",0.5419,56.8367,48.3679
000528.SZ,"354,974,897.9413",53.4440,"305,929,145.6000",-0.0229,7.4633,7.0980
000529.SZ,"130,523,530.7670",-159.9335,"187,123,896.6000",-0.1455,5.3233,6.1193
000530.SZ,"378,827,882.7457",-200.4452,"351,170,255.0000",-0.1980,3.8000,4.7164
000531.SZ,"160,452,640.3111",-242.5279,"139,249,076.2000",-0.2269,5.5133,6.2585
000532.SZ,"388,108,373.6812",49.9792,"364,804,069.6000",0.1908,12.1533,12.4939
000533.SZ,"419,085,401.1222",-278.4409,"301,800,650.6000",-0.1549,3.3600,3.9960
000534.SZ,"53,176,937.7555",-123.2135,"66,702,299.4000",-0.3339,10.5767,12.1667
000536.SZ,"1,662,590,273.6221",4.7882,"3,501,518,336.4000",0.3909,2.7633,3.1724
000537.SZ,"148,123,545.9268",-126.1397,"127,776,081.2000",-0.1724,9.3667,9.9667
000538.SZ,"161,120,743.1395",-111.0000,"139,209,690.4000",-0.0747,48.3933,49.6682
000539.SZ,"662,242,514.5195",-121.8928,"566,116,262.6000",-0.3507,4.7300,5.1349
000541.SZ,"303,649,601.8137",-80.3142,"717,980,664.2000",0.0398,5.1900,5.9397
000543.SZ,"503,635,632.0069",100.4835,"486,049,680.6000",0.0562,7.1367,6.8281
000544.SZ,"157,727,940.3921",-91.6293,"127,222,614.8000",-0.0502,6.4933,6.9505
000545.SZ,"358,553,919.8694",-255.0374,"199,130,633.6000",-0.2371,2.0467,2.6421
000546.SZ,"370,551,510.0200",-112.4483,"859,823,698.2000",-0.2475,5.5967,6.7523
000547.SZ,"406,347,932.1757",-148.8119,"367,739,384.6000",-0.2387,6.8500,7.7735
000548.SZ,"381,251,762.0071",-225.6957,"255,839,257.0000",-0.1276,4.1900,4.8701
000550.SZ,"149,628,297.3371",188.2668,"255,885,065.2000",0.5068,24.0867,21.5359
000551.SZ,"147,269,800.0168",-262.4473,"104,378,814.2000",-0.1621,7.8367,9.2140
000552.SZ,"500,500,042.6633",-170.5082,"508,455,551.0000",-0.0937,2.9167,3.0673
000553.SZ,"111,130,512.0919",-144.4114,"75,897,214.2000",-0.2235,6.2200,6.8950
000554.SZ,"470,134,268.4719",-218.3515,"475,088,861.2000",0.0054,5.1367,5.7843
000555.SZ,"196,690,199.5288",-227.6371,"224,189,614.4000",-0.2088,8.9433,10.3800
000557.SZ,"191,531,130.1454",-138.1643,"195,537,808.2000",-0.1820,4.2467,4.6104
000558.SZ,"386,482,712.4811",-174.7643,"604,813,178.8000",-0.1646,2.5300,2.7849
000559.SZ,"353,625,778.5218",-218.4911,"357,403,066.4000",-0.0838,4.5733,4.9217
000560.SZ,"825,714,856.1437",-181.2628,"878,441,332.8000",-0.3065,1.7233,2.1306
000561.SZ,"143,132,827.6891",-181.3472,"151,840,723.0000",-0.1871,6.6567,7.8442
000563.SZ,"1,120,252,472.1456",-101.2063,"782,023,470.0000",-0.0404,2.9667,3.0574
000564.SZ,"2,884,108,562.5287",97.3648,"3,439,453,964.6000",0.3448,1.6667,1.5750
000565.SZ,"320,268,959.3159",-243.4471,"156,153,985.0000",-0.1862,4.3267,5.3110
000566.SZ,"245,965,737.7541",-239.4190,"267,454,846.8000",-0.2952,3.5267,4.1584
000567.SZ,"128,083,037.7480",-102.1184,"108,503,535.8000",-0.4924,9.2633,10.6363
000568.SZ,"151,815,222.2679",-159.3540,"155,931,003.8000",-0.1386,163.8833,181.9639
000570.SZ,"359,264,201.7207",-109.1835,"589,081,626.6000",0.0352,4.9300,5.5404
000571.SZ,"307,451,308.4118",-80.7887,"460,985,854.2000",-0.0442,2.2833,2.6116
000572.SZ,"915,921,523.3397",-126.5381,"1,460,035,113.4000",-0.0024,3.7733,4.4509
000573.SZ,"336,722,974.2966",-223.2461,"250,750,634.2000",-0.2173,2.5767,3.1203
000576.SZ,"95,719,457.1326",-227.9120,"95,336,285.8000",-0.3176,6.4533,8.1448
000581.SZ,"243,936,713.2522",-19.8062,"161,833,680.2000",0.1333,16.8833,16.4778
000582.SZ,"190,237,519.2470",-95.8904,"197,642,337.4000",-0.0549,7.3267,7.5353
000584.SZ,"318,053,243.1236",-113.1251,"242,343,917.2000",-0.3792,2.5967,3.4668
000586.SZ,"103,593,532.3000",-93.9524,"73,646,638.2000",-0.0895,9.7233,11.9022
000589.SZ,"434,487,401.7699",-54.0794,"400,190,152.8000",0.1090,5.4133,5.9181
000590.SZ,"156,515,234.6372",-422.0495,"137,709,812.2000",-0.2727,6.3167,7.8690
000591.SZ,"692,127,930.3419",-102.0139,"510,759,626.4000",-0.2217,5.2267,5.5197
000592.SZ,"1,267,716,389.5275",-218.7420,"1,471,248,548.6000",-0.0354,2.0900,2.3594
000593.SZ,"181,129,987.6835",-249.1435,"345,727,537.0000",-0.2077,4.9467,6.4263
000595.SZ,"495,011,071.4585",-161.8026,"476,506,091.6000",-0.1487,4.3033,4.7935
000596.SZ,"28,961,302.2236",-160.2855,"26,256,075.2000",-0.1302,215.8267,231.4983
000597.SZ,"272,750,373.0000",-168.1448,"282,940,860.6000",-0.1266,4.4400,4.9649
000598.SZ,"521,148,661.7348",165.8949,"378,110,355.8000",0.0840,5.9767,5.7963
000599.SZ,"309,856,039.9404",-278.2396,"281,233,381.6000",-0.1022,3.5033,4.0948
000600.SZ,"399,959,691.0920",-111.6544,"351,217,365.8000",-0.3532,4.5667,5.1197
000601.SZ,"247,887,789.8080",-255.9552,"162,233,594.6000",-0.2543,3.3667,3.9648
000603.SZ,"161,154,737.8217",-179.4441,"186,049,303.4000",-0.3020,8.6467,10.5820
000605.SZ,"174,140,107.0127",-334.8071,"162,663,220.2000",-0.2801,4.6800,5.6365
000607.SZ,"289,313,170.4523",-192.0665,"293,488,327.4000",-0.2855,3.6367,4.3426
000608.SZ,"477,224,185.5769",-250.7932,"314,108,757.8000",-0.2210,2.0900,2.5697
000609.SZ,"343,147,748.2089",-116.3107,"657,949,638.2000",0.0148,4.4700,5.6133
000610.SZ,"164,884,341.0277",-180.1379,"251,303,787.8000",-0.2370,11.3400,13.1746
000612.SZ,"310,612,376.9000",-159.1210,"241,983,936.8000",-0.0083,4.5700,5.1595
000615.SZ,"306,929,317.8957",-79.0749,"460,146,978.4000",0.1547,2.9333,3.4712
000617.SZ,"2,292,932,593.0726",-62.9126,"1,502,346,889.8000",-0.2082,5.8900,6.0988
000619.SZ,"199,519,039.7622",-293.3659,"278,623,364.0000",-0.2052,4.7800,5.7575
000620.SZ,"497,348,190.4533",-64.1090,"505,500,638.6000",0.0400,1.5167,1.6535
000622.SZ,"398,767,899.8339",-266.3863,"267,271,455.0000",-0.3168,2.7933,3.7114
000623.SZ,"249,735,467.5395",-120.6258,"195,336,872.2000",-0.1039,14.6567,15.3512
000625.SZ,"3,395,742,144.8638",-9.1131,"4,748,141,883.0000",0.1980,13.9567,15.0731
000626.SZ,"136,013,743.6058",-193.0951,"100,205,058.4000",-0.2717,4.9800,6.3146
000627.SZ,"661,484,231.4338",-178.7398,"576,125,613.8000",-0.1473,2.5500,2.8403
000628.SZ,"493,774,030.8755",137.9284,"652,294,768.2000",0.8018,59.8967,50.8155
000629.SZ,"1,399,378,259.5611",-110.1241,"992,240,561.4000",-0.1985,2.9900,3.2611
000630.SZ,"2,825,824,428.9268",26.3505,"2,207,904,238.0000",0.1159,3.2300,3.1717
000631.SZ,"448,060,787.1655",-124.4195,"672,170,792.2000",-0.0070,2.6933,3.0776
000632.SZ,"312,885,691.6108",-260.6152,"435,086,922.2000",-0.2029,3.1367,3.9428
000633.SZ,"130,122,703.1343",-161.0413,"224,949,222.6000",-0.4417,5.0533,6.3363
000635.SZ,"241,743,666.2463",-214.3580,"195,132,857.4000",0.0229,7.4500,8.6182
000636.SZ,"270,068,030.8967",-190.9225,"180,249,621.6000",-0.2357,11.0633,12.7690
000637.SZ,"125,329,407.7445",-86.3372,"96,298,009.8000",-0.0155,3.0433,3.3668
000638.SZ,"446,934,659.8855",-231.3538,"419,193,261.4000",-0.1795,4.5400,5.7669
000639.SZ,"252,357,621.8062",-254.7693,"214,333,934.0000",-0.2335,3.1067,3.8862
000650.SZ,"401,654,405.6719",-141.9037,"530,416,474.4000",-0.0345,6.0400,6.4374
000651.SZ,"705,206,706.9734",86.3092,"673,739,629.0000",0.1554,37.6733,35.8909
000652.SZ,"180,689,143.7232",-239.5941,"270,661,281.8000",-0.1387,3.4033,3.7699
000655.SZ,"178,082,995.1570",-219.3166,"135,367,919.0000",-0.0728,5.5667,6.4592
000656.SZ,"4,241,554,682.1529",-53.5787,"7,320,256,099.8000",0.4331,1.4833,1.6532
000657.SZ,"243,102,532.1054",-88.7499,"268,961,366.6000",-0.3071,7.8933,8.5984
000659.SZ,"386,983,423.7696",-185.0575,"298,000,885.4000",-0.2568,2.0200,2.3749
000661.SZ,"73,751,448.0488",-117.5372,"98,314,587.8000",-0.1939,122.3833,135.1797
000663.SZ,"231,114,916.9002",-214.8841,"146,673,042.8000",-0.3137,6.0333,7.5392
000665.SZ,"337,053,217.3030",-170.3233,"430,106,585.8000",-0.2685,3.8300,4.5159
000668.SZ,"99,406,643.5062",-332.4209,"78,124,391.2000",-0.3124,7.3667,10.0059
000669.SZ,"271,427,140.9063",-162.5954,"431,407,393.8000",-0.0698,1.6133,1.8790
000670.SZ,"439,461,174.1627",-146.6467,"714,602,191.6000",-0.1811,4.9467,5.9208
000672.SZ,"119,425,496.1739",-118.3442,"130,591,304.8000",-0.2023,7.3100,8.0831
000676.SZ,"1,509,896,244.4523",-14.6366,"2,288,737,423.6000",-0.0184,6.8000,7.4946
000677.SZ,"332,333,979.4184",-196.7905,"654,175,822.4000",-0.1181,2.2733,2.7754
000678.SZ,"407,450,689.1639",-138.9836,"369,653,559.0000",0.0055,5.1000,5.9024
000679.SZ,"276,642,212.5387",-245.8583,"305,572,180.2000",-0.2146,3.8533,4.8631
000680.SZ,"791,155,406.0770",222.1010,"576,806,586.8000",0.2201,6.1200,5.5578
000681.SZ,"477,621,720.3971",-135.0027,"572,627,479.6000",-0.2122,12.6300,13.8965
000682.SZ,"198,752,478.9299",-93.0147,"247,543,338.4000",-0.0798,7.7233,8.0303
000683.SZ,"677,769,164.8298",-111.9183,"639,322,335.4000",-0.0916,5.6433,6.0789
000685.SZ,"217,779,289.7655",-43.8772,"169,542,754.8000",-0.0130,7.2767,7.4502
000686.SZ,"433,524,740.9178",-72.5479,"347,343,880.0000",0.0042,6.8500,7.1454
000688.SZ,"100,453,331.0621",-104.8629,"98,789,328.6000",-0.4030,8.9500,10.2967
000690.SZ,"897,267,394.6859",-79.5850,"861,110,352.0000",-0.3584,4.8767,4.9906
000691.SZ,"309,377,831.2212",-241.2863,"216,391,449.2000",-0.1711,3.3167,4.1877
000692.SZ,"62,760,547.5491",-22.2865,"90,697,287.0000",0.1455,2.7600,2.8607
000695.SZ,"38,407,062.3095",-168.9151,"36,029,212.2000",-0.3746,7.9700,9.9105
000697.SZ,"103,501,928.9982",-85.9976,"134,995,979.6000",-0.1290,5.4067,5.7690
000698.SZ,"292,349,892.8464",-209.2591,"366,327,066.8000",-0.1502,3.3033,3.8434
000700.SZ,"448,035,595.5107",-51.7721,"665,180,469.6000",0.1845,5.4800,6.3942
000701.SZ,"363,797,394.9655",-259.6818,"372,056,886.6000",-0.3483,3.7233,5.0858
000702.SZ,"225,429,303.1275",-271.0345,"133,137,288.4000",-0.1921,3.9967,5.1284
000703.SZ,"361,712,063.1633",-47.3108,"223,863,457.4000",0.0318,6.9500,6.8092
000705.SZ,"259,402,056.3704",-172.0757,"466,554,403.8000",-0.0872,7.2900,8.4131
000707.SZ,"128,702,642.6755",-154.6137,"138,662,541.4000",-0.1519,6.4833,7.3437
000708.SZ,"154,630,386.7797",-68.2528,"143,829,769.0000",-0.0345,14.2967,14.4023
000709.SZ,"1,238,399,653.4266",-101.3971,"957,953,664.6000",-0.0480,2.1367,2.1692
000710.SZ,"251,073,676.0403",-174.3531,"361,106,404.2000",-0.2844,7.7400,9.8652
000711.SZ,"183,328,678.0864",-94.9676,"278,608,992.2000",0.1728,1.5967,1.8347
000712.SZ,"383,320,603.6432",-159.7437,"858,595,451.4000",-0.0475,11.4767,13.0988
000713.SZ,"168,563,524.7187",-175.5420,"184,817,280.2000",-0.1564,6.9700,7.6999
000715.SZ,"383,182,198.9076",-204.8546,"361,274,037.4000",-0.1780,5.9933,6.8733
000716.SZ,"300,187,622.3758",-159.6095,"455,141,607.2000",-0.2443,4.6767,5.6340
000717.SZ,"1,164,545,708.7528",-147.3751,"637,782,166.6000",-0.0557,2.5333,2.6761
000718.SZ,"323,276,865.8439",-176.7507,"302,555,457.4000",-0.1536,2.2733,2.5450
000719.SZ,"307,273,881.1431",-70.6796,"398,528,285.2000",-0.1341,9.4700,10.1033
000720.SZ,"297,299,186.8127",-177.3646,"161,801,202.2000",-0.3314,3.3600,3.9369
000721.SZ,"270,599,279.6213",-169.6281,"483,572,475.0000",-0.2310,8.3933,10.2406
000722.SZ,"141,281,626.0430",-148.0822,"167,188,100.6000",-0.2684,8.2467,9.3915
000723.SZ,"858,228,996.5335",-115.6451,"593,913,097.2000",-0.0432,6.1000,6.6250
000725.SZ,"5,738,229,675.9799",-55.7086,"5,913,830,727.4000",0.0050,3.8567,3.8750
000726.SZ,"71,888,909.5529",-119.6339,"76,738,225.0000",-0.0531,6.0133,6.4062
000727.SZ,"1,206,848,312.9643",1.5487,"2,748,161,640.6000",0.1825,2.3633,2.4938
000728.SZ,"807,332,293.6118",-97.3118,"698,631,038.2000",0.0401,6.6167,6.8013
000729.SZ,"357,214,912.6941",-113.1330,"309,782,937.8000",-0.2422,8.5567,9.1233
000731.SZ,"103,429,372.6993",-156.7649,"121,581,549.8000",-0.1291,6.5333,7.1254
000733.SZ,"201,417,564.2035",-124.8552,"156,675,555.2000",-0.3779,52.0167,60.2948
000735.SZ,"251,877,503.9356",-134.9513,"247,561,707.4000",-0.2247,4.8933,5.5088
000736.SZ,"581,204,406.7980",-122.8360,"426,373,064.0000",-0.2483,9.4333,10.5228
000737.SZ,"215,533,816.9924",-156.3801,"177,373,135.4000",-0.0294,4.9000,5.3816
000738.SZ,"181,458,499.7988",-167.7883,"136,089,389.4000",-0.2561,16.1733,18.6172
000739.SZ,"257,582,138.7826",-133.3856,"217,176,575.2000",-0.2464,13.0267,14.8359
000750.SZ,"1,109,964,644.5506",-76.0919,"953,708,421.2000",0.0421,3.3867,3.5171
000751.SZ,"273,539,791.4389",-262.2963,"248,526,381.6000",-0.1393,2.6467,3.0010
000752.SZ,"59,145,610.3678",15.6159,"200,310,608.8000",0.3891,6.3367,6.8244
000753.SZ,"247,322,315.3405",-276.1795,"234,631,278.8000",-0.2049,3.1200,3.8190
000755.SZ,"438,465,467.8186",-83.1036,"217,197,238.8000",-0.0869,4.4900,4.5136
000756.SZ,"193,328,349.7875",-134.9156,"374,856,199.0000",-0.2566,16.2900,18.6640
000757.SZ,"355,629,256.0242",-218.7907,"526,019,534.2000",-0.1771,3.1433,4.0619
000758.SZ,"440,601,454.3253",-96.4980,"331,868,039.6000",-0.0340,4.3633,4.5107
000759.SZ,"468,147,626.2285",-236.5520,"592,669,045.8000",-0.2478,3.3233,3.9299
000761.SZ,"261,307,929.5756",-123.2338,"216,884,514.0000",-0.1443,3.2367,3.5410
000762.SZ,"261,579,679.2081",-97.6761,"429,382,459.8000",-0.2263,22.3033,24.7458
000766.SZ,"812,676,999.0527",68.0013,"1,494,410,618.6000",0.6495,14.8267,15.0089
000767.SZ,"326,430,499.1287",-211.9497,"346,818,633.8000",-0.1881,2.5967,2.8884
000768.SZ,"222,809,506.5468",-137.0080,"242,469,936.8000",-0.1624,19.7467,21.3716
000776.SZ,"599,306,848.2877",-114.3791,"545,256,223.8000",-0.0483,13.8033,14.2876
000777.SZ,"117,404,336.5603",3.6691,"138,946,909.0000",0.0977,12.8467,13.6236
000778.SZ,"779,687,519.4127",-85.1089,"711,192,372.4000",-0.0814,3.8233,3.8996
000779.SZ,"92,882,650.5543",-248.2704,"125,138,327.4000",-0.2291,7.8667,9.4879
000782.SZ,"134,641,871.6689",-189.7436,"170,941,808.6000",-0.2290,4.2900,4.9148
000783.SZ,"1,103,583,992.1727",-124.2814,"652,132,990.4000",-0.0849,5.1933,5.4356
000785.SZ,"505,974,824.9934",-149.8953,"390,939,990.6000",-0.2005,2.9300,3.2236
000786.SZ,"161,795,565.9961",38.0062,"238,519,325.0000",0.1908,27.8100,26.4123
000788.SZ,"178,936,046.5908",-266.1016,"146,588,572.4000",-0.2736,4.9600,5.9965
