,tapi,cci,vma,srmi,cdp,expma
000001.SZ,"3,509,150,223.0406",-69.5205,"2,293,809,909.6000",-0.0871,10.3000,10.1979
000002.SZ,"1,604,965,621.4512",-118.8544,"1,595,348,958.0000",-0.2949,9.8533,10.7638
000004.SZ,"126,115,046.4272",-54.8616,"198,282,959.0000",-0.0658,11.8300,14.1802
000005.SZ,"313,761,291.6495",-152.1047,"251,692,516.2000",-0.0396,0.8567,1.1106
000006.SZ,"463,688,180.5246",-169.3671,"602,516,418.4000",-0.1212,3.8567,4.3404
000007.SZ,"42,177,536.1030",-83.8604,"40,655,456.6000",-0.0025,4.0167,4.5311
000008.SZ,"333,754,865.1488",-255.7106,"418,655,492.0000",-0.1224,2.0867,2.2554
000009.SZ,"516,239,577.8580",-6.2078,"383,736,193.4000",-0.0157,11.4200,11.3991
000010.SZ,"483,670,925.2426",-126.6276,"950,010,717.6000",0.0596,2.1767,2.8167
000011.SZ,"97,975,887.2335",-164.9927,"126,472,951.6000",-0.1145,8.1200,8.8575
000012.SZ,"270,261,561.9667",-68.2708,"227,580,309.6000",-0.0656,5.5567,5.6182
000014.SZ,"333,093,554.8934",-0.8314,"241,693,450.8000",0.1241,11.5233,11.8521
000016.SZ,"398,094,274.4055",-210.8853,"353,964,257.0000",-0.3333,3.0467,3.6983
000017.SZ,"1,917,002,279.8075",248.2990,"678,599,376.4000",0.6056,10.9667,8.1200
000019.SZ,"170,990,278.1638",-196.9957,"122,730,561.0000",-0.0751,6.6333,7.1098
000020.SZ,"313,796,930.8569",103.2937,"160,017,826.6000",0.2469,13.9233,13.8085
000021.SZ,"607,977,992.1310",-94.5527,"713,938,864.2000",-0.3761,13.0133,14.9957
000023.SZ,"58,204,614.1013",-104.2397,"31,947,988.0000",-0.2623,4.5167,5.5567
000025.SZ,"179,588,078.7402",-153.1519,"169,978,947.2000",-0.0950,14.5933,16.1134
000026.SZ,"100,836,980.4719",-239.4596,"115,942,637.0000",-0.2003,9.1233,10.3502
000027.SZ,"438,153,493.8771",-5.4264,"371,312,554.6000",-0.0463,6.3567,6.3981
000028.SZ,"95,855,790.2561",-61.3445,"111,088,526.0000",-0.4621,30.4233,31.2088
000029.SZ,"122,537,811.4889",-108.0998,"111,205,079.4000",-0.0226,10.9133,11.3929
000030.SZ,"237,230,833.1915",-106.2215,"260,383,318.0000",0.0282,4.6000,5.0907
000031.SZ,"353,122,619.0106",-163.5558,"341,920,040.2000",-0.2225,2.7100,3.0447
000032.SZ,"476,491,399.5043",-106.3745,"578,214,652.6000",-0.4293,17.9367,20.4196
000034.SZ,"394,550,661.1199",-21.6478,"535,259,226.0000",0.0745,27.6100,28.5846
000035.SZ,"612,583,493.3149",-179.3844,"470,688,345.2000",-0.1168,3.8433,4.6128
000036.SZ,"329,810,626.8344",-276.4206,"267,301,658.8000",-0.2094,2.9633,3.4905
000037.SZ,"425,817,816.7703",-63.6029,"274,433,555.8000",-0.0088,7.9033,8.7501
000039.SZ,"525,079,417.6224",209.2556,"456,517,118.6000",0.2369,8.5867,8.0466
000040.SZ,"283,930,830.1591",-223.3740,"297,497,474.2000",-0.3063,2.9267,3.4471
000042.SZ,"261,306,495.5901",-193.4375,"146,324,875.2000",-0.4403,4.0467,5.3915
000045.SZ,"145,388,380.8936",-205.2343,"198,907,577.8000",-0.1828,8.7767,10.1691
000048.SZ,"74,911,119.3185",-114.8693,"84,160,353.8000",-0.0888,17.5267,18.0771
000049.SZ,"75,081,251.0403",-143.1291,"76,587,680.0000",-0.3694,21.3400,25.8480
000050.SZ,"271,944,790.8908",-120.2575,"304,382,158.0000",-0.0527,8.5833,9.4098
000055.SZ,"128,683,747.5881",-219.4065,"129,437,413.8000",-0.1462,3.8400,4.3316
000056.SZ,"1,159,977,654.4769",-165.0733,"1,308,119,299.2000",-0.2129,2.5833,3.1703
000058.SZ,"338,323,661.2534",-86.6032,"568,853,197.6000",0.0483,6.2733,6.9077
000059.SZ,"353,974,256.1804",-141.7521,"252,929,426.2000",-0.1956,4.7833,5.4071
000060.SZ,"736,074,140.8634",-116.3721,"656,939,442.8000",-0.0847,4.1200,4.3779
000061.SZ,"166,469,574.9535",-60.1140,"142,314,388.2000",0.0321,5.9267,6.3139
000062.SZ,"105,492,190.1077",-208.9511,"85,561,263.8000",-0.1710,9.2600,10.4475
000063.SZ,"1,943,131,514.7636",-67.1569,"1,835,698,044.4000",-0.1512,26.9100,27.6860
000065.SZ,"249,879,254.6402",-73.7396,"290,552,351.2000",-0.2553,10.4900,11.6015
000066.SZ,"902,325,492.6599",-131.9195,"1,097,253,741.4000",-0.1379,9.5200,10.1387
000068.SZ,"1,370,151,175.6292",47.6837,"726,768,172.4000",0.1637,3.9367,3.9816
000069.SZ,"777,490,388.8502",-124.4532,"793,551,111.4000",-0.3537,2.9600,3.3146
000070.SZ,"1,839,576,165.0000",-40.4157,"1,039,025,813.0000",0.0133,8.2267,8.6289
000078.SZ,"327,898,554.6250",-256.0684,"459,267,428.2000",-0.2358,2.4333,2.8108
000088.SZ,"204,146,265.4191",-148.2777,"174,307,080.2000",-0.0203,4.6767,4.8393
000089.SZ,"259,513,784.4557",-107.4505,"180,624,720.4000",-0.0549,6.4267,6.5444
000090.SZ,"655,882,206.4335",-134.5829,"666,574,455.4000",-0.0791,4.5500,4.8493
000096.SZ,"74,724,933.4634",67.9861,"116,862,996.2000",0.1911,9.9000,9.9987
000099.SZ,"822,500,183.1912",104.5139,"471,537,128.8000",0.1574,9.2233,9.0931
000100.SZ,"3,820,458,573.6954",91.4882,"4,233,715,101.8000",0.1479,4.3300,4.2585
000151.SZ,"419,973,632.2826",-199.7506,"321,132,363.2000",-0.0869,10.2167,11.6613
000153.SZ,"165,864,538.5265",-267.9827,"212,355,969.8000",-0.2407,7.1833,8.5665
000155.SZ,"286,767,499.9711",-115.9690,"439,843,095.2000",-0.1856,10.4833,11.6961
000156.SZ,"199,075,048.8100",-122.4777,"208,008,007.6000",-0.1756,6.8600,7.3806
000157.SZ,"1,023,456,155.3713",260.8883,"732,622,362.0000",0.2088,7.7867,7.1686
000158.SZ,"1,403,347,429.6808",-21.7158,"2,587,590,442.4000",0.1862,7.6033,8.3574
000159.SZ,"185,334,813.1228",-213.4443,"154,549,359.8000",-0.2963,4.7333,5.8676
000166.SZ,"1,526,832,275.2031",9.1678,"1,344,501,401.6000",-0.0297,4.4867,4.4810
