,tapi,atr,vma,cdp,expma
000408.SZ,"165,666,462.8440",6.2300,"170,382,908.6000",27.2133,25.9228
000409.SZ,"421,789,632.2429",2.7500,"498,805,717.0000",7.5733,8.0584
000410.SZ,"171,494,180.9873",2.2200,"158,847,554.6000",6.6000,6.8903
000411.SZ,"69,864,703.9199",2.1800,"101,013,374.2000",9.6433,10.7768
000413.SZ,"1,025,083,052.2222",0.4900,"2,908,014,831.8000",1.6967,1.9125
000415.SZ,"1,412,785,853.5870",0.5000,"990,270,951.2000",2.1333,2.2366
000416.SZ,"308,668,583.4496",0.7100,"200,009,153.0000",1.4933,1.8108
000417.SZ,"346,824,495.7445",0.9600,"404,280,321.8000",4.3800,4.7563
000419.SZ,"217,514,943.5225",1.3800,"209,915,934.4000",4.2800,5.0869
000420.SZ,"461,323,688.9270",0.7000,"463,074,343.2000",2.6000,2.8700
000421.SZ,"404,216,859.1021",2.0400,"557,131,770.0000",4.6400,5.4440
000422.SZ,"274,435,367.9687",2.2200,"287,656,729.8000",8.4167,9.5768
000423.SZ,"154,232,911.5562",10.1300,"103,566,010.0000",57.3200,52.9489
000425.SZ,"1,293,984,048.7673",0.8800,"1,096,185,823.2000",5.8167,5.8065
000426.SZ,"389,058,708.2141",1.9600,"376,417,386.8000",8.5467,8.9834
000428.SZ,"338,087,160.4299",1.0600,"445,035,852.0000",3.1000,3.7527
000429.SZ,"235,499,500.1112",1.0600,"189,004,141.0000",9.5533,8.8602
000430.SZ,"170,407,890.0716",1.6600,"133,664,798.0000",5.2433,6.1764
000488.SZ,"281,571,160.3792",0.7000,"248,047,031.0000",3.3867,3.8327
000498.SZ,"200,267,305.0480",0.9200,"178,118,370.6000",5.3933,5.7444
000501.SZ,"105,251,475.1303",1.2200,"129,909,595.6000",7.3000,8.1690
000503.SZ,"314,497,683.9371",3.1400,"461,995,073.0000",9.6067,11.1143
000504.SZ,"69,163,858.0691",3.7400,"48,442,221.2000",7.3600,9.6215
000505.SZ,"116,659,632.4133",1.7900,"103,631,232.4000",6.1933,6.7898
000506.SZ,"394,402,421.3642",0.9300,"593,357,647.4000",3.0500,3.7442
000507.SZ,"234,555,347.8902",0.9300,"181,804,755.2000",4.7600,5.1654
000509.SZ,"281,894,904.0964",1.1900,"286,750,018.0000",2.8200,3.4178
000510.SZ,"221,473,781.1600",1.7000,"221,770,310.4000",3.7267,4.7628
000513.SZ,"111,883,828.9740",6.3000,"96,841,179.6000",36.7300,36.1252
000514.SZ,"478,311,612.0909",1.3200,"391,855,322.4000",3.2067,3.8952
000516.SZ,"470,125,330.8346",1.5000,"437,409,381.4000",6.3433,7.4903
000517.SZ,"468,746,084.0655",0.5100,"422,634,023.8000",2.1800,2.4738
000518.SZ,"660,038,435.6721",1.0400,"713,666,587.2000",2.3167,2.8648
000519.SZ,"329,111,836.9185",3.5500,"342,412,963.8000",11.9433,13.5097
000520.SZ,"211,032,463.4956",0.6200,"380,832,358.6000",2.2000,2.5955
000521.SZ,"454,872,374.0674",2.5000,"451,265,504.4000",8.0067,7.1215
000523.SZ,"272,694,949.5686",0.6600,"414,736,301.6000",2.8733,3.0942
000524.SZ,"147,328,744.7037",1.9500,"179,530,760.2000",7.0400,8.2460
000525.SZ,"101,444,176.7773",1.4100,"80,752,130.8000",6.7267,7.6725
000526.SZ,"82,271,612.0688",24.9500,"100,342,119.4000",56.8367,48.3679
000528.SZ,"354,974,897.9413",1.2200,"305,929,145.6000",7.4633,7.0980
000529.SZ,"130,523,530.7670",1.4700,"187,123,896.6000",5.3233,6.1193
000530.SZ,"378,827,882.7457",1.2700,"351,170,255.0000",3.8000,4.7164
000531.SZ,"160,452,640.3111",1.2900,"139,249,076.2000",5.5133,6.2585
000532.SZ,"388,108,373.6812",4.7200,"364,804,069.6000",12.1533,12.4939
000533.SZ,"419,085,401.1222",1.3000,"301,800,650.6000",3.3600,3.9960
000534.SZ,"53,176,937.7555",3.3200,"66,702,299.4000",10.5767,12.1667
000536.SZ,"1,662,590,273.6221",1.1800,"3,501,518,336.4000",2.7633,3.1724
000537.SZ,"148,123,545.9268",2.5800,"127,776,081.2000",9.3667,9.9667
000538.SZ,"161,120,743.1395",5.5900,"139,209,690.4000",48.3933,49.6682
000539.SZ,"662,242,514.5195",0.7000,"566,116,262.6000",4.7300,5.1349
000541.SZ,"303,649,601.8137",1.4200,"717,980,664.2000",5.1900,5.9397
000543.SZ,"503,635,632.0069",0.9900,"486,049,680.6000",7.1367,6.8281
000544.SZ,"157,727,940.3921",1.4700,"127,222,614.8000",6.4933,6.9505
000545.SZ,"358,553,919.8694",0.9200,"199,130,633.6000",2.0467,2.6421
000546.SZ,"370,551,510.0200",1.8600,"859,823,698.2000",5.5967,6.7523
000547.SZ,"406,347,932.1757",2.1900,"367,739,384.6000",6.8500,7.7735
000548.SZ,"381,251,762.0071",1.5700,"255,839,257.0000",4.1900,4.8701
000550.SZ,"149,628,297.3371",6.9400,"255,885,065.2000",24.0867,21.5359
000551.SZ,"147,269,800.0168",2.3700,"104,378,814.2000",7.8367,9.2140
000552.SZ,"500,500,042.6633",0.5300,"508,455,551.0000",2.9167,3.0673
