,tapi,atr,vma,cdp,expma
002250.SZ,"380,908,735.9468",1.8700,"369,460,373.2000",5.9500,7.1890
002251.SZ,"293,808,098.9634",1.1100,"460,316,121.0000",3.0767,3.8671
002252.SZ,"718,004,260.6722",1.4100,"918,832,807.0000",6.8233,7.1768
002253.SZ,"212,998,691.7103",4.2700,"221,090,974.4000",9.9100,12.6361
002254.SZ,"196,208,587.5398",3.5500,"162,283,625.0000",11.4233,13.8932
002255.SZ,"304,822,962.3765",1.4900,"395,078,451.8000",4.4833,4.9930
002256.SZ,"661,241,762.8858",0.7800,"788,213,452.2000",2.1033,2.3088
002258.SZ,"138,251,903.3317",2.1900,"97,124,995.8000",9.5400,11.1000
002259.SZ,"59,281,531.6588",0.4300,"50,906,153.0000",3.3633,3.3660
002261.SZ,"1,182,566,029.1929",5.8800,"1,523,595,509.4000",13.3533,14.6779
002262.SZ,"173,750,572.4393",6.3600,"164,998,365.4000",24.2800,25.3901
002263.SZ,"279,931,961.2735",0.7300,"337,640,369.6000",2.1767,2.4256
002264.SZ,"196,516,232.7189",1.4300,"147,007,149.0000",4.0967,4.9073
002265.SZ,"84,454,530.5789",3.1600,"123,374,714.4000",9.5767,10.8905
002266.SZ,"615,561,074.8588",0.9500,"375,073,782.6000",3.2767,3.4573
002267.SZ,"126,525,216.9417",0.8800,"105,295,335.0000",6.3000,6.9106
002268.SZ,"301,753,572.1697",6.8800,"228,895,238.4000",18.6433,20.9934
002269.SZ,"1,509,985,788.8452",0.4800,"1,748,577,120.0000",1.6800,1.7624
002270.SZ,"155,722,967.5303",3.6500,"213,308,064.8000",15.6967,14.6524
002271.SZ,"690,280,500.0029",3.2200,"751,250,085.2000",16.6033,19.7198
002272.SZ,"277,587,436.1449",1.8600,"251,269,946.0000",4.4433,5.6316
002273.SZ,"517,812,479.2298",2.8200,"673,842,776.2000",10.4367,11.6431
002274.SZ,"186,402,032.6939",1.8600,"156,721,979.8000",7.2200,7.4797
002275.SZ,"61,325,641.4092",3.2100,"106,419,471.2000",13.2900,14.3269
002276.SZ,"263,859,587.6386",2.3300,"259,861,743.6000",8.1833,9.3302
002277.SZ,"866,005,431.5458",1.0600,"671,769,797.6000",2.6833,3.3253
002278.SZ,"199,798,535.3318",1.6000,"159,585,295.0000",4.1033,5.0843
002279.SZ,"481,242,107.7658",1.7700,"646,312,053.0000",5.0100,5.9371
002280.SZ,"818,271,404.4430",0.8200,"895,054,951.4000",2.0333,2.4705
002281.SZ,"646,988,741.7458",10.4400,"758,587,518.0000",26.5400,27.4588
002282.SZ,"122,417,644.3317",1.9500,"150,657,988.6000",5.7900,6.8882
002283.SZ,"345,945,933.6827",1.4800,"291,941,531.2000",5.0000,5.6299
002284.SZ,"247,518,655.2857",2.4900,"425,282,737.4000",6.6267,8.0600
002285.SZ,"441,572,319.6244",0.6300,"443,121,356.8000",1.9200,2.3033
002286.SZ,"126,884,409.8792",2.0900,"121,843,032.6000",5.7700,7.1417
002287.SZ,"31,460,579.7412",5.5600,"29,449,871.8000",19.6933,21.7171
002288.SZ,"594,623,393.7179",1.3300,"360,988,049.2000",2.5967,3.5812
002289.SZ,"33,747,641.4746",1.0900,"49,774,403.2000",4.4267,5.2407
002290.SZ,"70,984,372.6074",5.2400,"56,721,480.8000",9.9900,11.4743
002291.SZ,"476,600,614.0309",2.7700,"944,952,513.6000",6.5000,8.2913
002292.SZ,"1,408,573,408.1689",3.0700,"1,831,243,168.4000",6.9033,7.6039
002293.SZ,"69,869,692.0000",1.2900,"66,653,645.8000",9.2900,9.6176
002294.SZ,"108,764,513.0603",8.9400,"79,848,894.4000",28.3800,29.8431
002295.SZ,"134,349,987.4415",2.4600,"114,519,134.6000",5.2667,6.6947
002296.SZ,"260,523,297.5855",2.3300,"178,700,103.4000",6.1933,7.2744
002297.SZ,"170,045,870.6488",1.9700,"153,235,667.0000",5.7067,6.8657
002298.SZ,"441,656,017.1409",1.5700,"273,557,577.6000",3.9567,5.0225
002299.SZ,"161,342,937.2112",3.7200,"137,244,759.6000",15.8567,16.9162
002300.SZ,"207,242,329.2829",1.9400,"473,495,288.0000",6.2167,7.4904
002301.SZ,"215,828,790.4295",2.2900,"145,081,262.8000",5.6600,6.4026
002302.SZ,"178,426,317.5378",1.4200,"162,682,666.4000",6.1933,6.6511
002303.SZ,"404,425,015.8616",0.8800,"286,788,261.2000",2.7633,3.1872
002304.SZ,"91,178,926.3281",15.1500,"94,996,078.8000",97.5833,107.9018
002305.SZ,"616,477,664.7000",0.5000,"835,810,683.2000",1.6667,1.9346
002306.SZ,"569,405,037.4585",1.4200,"709,159,294.8000",3.0100,3.8549
002307.SZ,"200,188,387.5477",0.8600,"220,699,069.0000",3.8000,4.2700
002308.SZ,"702,245,314.6167",1.5100,"678,303,920.2000",2.5400,3.5171
002309.SZ,"182,884,954.5419",0.7000,"235,663,816.2000",2.1367,2.7712
002310.SZ,"852,673,808.4813",0.4900,"1,150,468,340.8000",1.5300,1.8547
002311.SZ,"72,669,187.5032",7.0100,"82,579,587.2000",41.4300,43.1657
002312.SZ,"438,535,834.6523",2.4000,"281,373,983.2000",6.3733,6.9150
002313.SZ,"293,479,600.0092",5.7200,"451,380,648.6000",7.8867,8.6985
002314.SZ,"379,332,415.1673",0.5800,"380,698,500.2000",2.5700,2.8939
002315.SZ,"131,928,857.3594",12.3000,"187,719,486.4000",29.2600,30.5703
002316.SZ,"510,458,198.9118",2.9800,"772,497,008.0000",4.3000,5.0242
002317.SZ,"483,507,991.0370",6.7400,"656,827,254.2000",14.6500,16.0054
002318.SZ,"103,129,097.5573",4.2500,"92,058,507.0000",21.3267,20.2804
002319.SZ,"110,373,978.1108",5.4000,"71,067,995.2000",11.2267,12.7125
002320.SZ,"379,850,579.7792",1.4100,"286,409,311.0000",5.9867,5.9624
002321.SZ,"292,585,027.9082",0.4400,"267,475,138.8000",1.8933,2.2011
002322.SZ,"139,296,865.0966",3.2500,"222,778,065.8000",10.3333,11.5209
002323.SZ,"1,012,387,983.6348",0.6600,"1,310,116,891.2000",1.6800,2.0758
002324.SZ,"355,941,196.6319",2.8800,"246,507,175.4000",8.7933,11.0509
002325.SZ,"1,994,874,257.1098",0.6600,"1,275,793,070.0000",1.5100,1.5832
002326.SZ,"262,475,126.6947",2.9500,"291,751,750.4000",9.7200,11.1186
002327.SZ,"145,472,731.6526",1.5500,"120,545,556.8000",10.0600,9.4864
002328.SZ,"137,893,572.2619",1.2500,"270,041,021.2000",4.7633,5.4511
002329.SZ,"348,679,268.9820",1.5600,"505,670,539.0000",4.1900,5.1763
002330.SZ,"184,971,546.7710",1.0700,"228,327,947.6000",4.1300,5.0053
002331.SZ,"255,877,479.4929",2.7100,"389,955,312.4000",5.8267,7.1965
002332.SZ,"202,277,698.5931",2.7800,"273,071,543.0000",10.1500,11.2760
002333.SZ,"315,685,793.1492",2.3000,"313,744,008.4000",5.7067,6.1721
002334.SZ,"405,333,214.1475",2.7000,"364,356,652.8000",6.9400,8.1114
002335.SZ,"163,288,447.8598",8.1500,"167,672,679.4000",22.9633,26.2740
002336.SZ,"188,244,222.8347",5.3200,"171,311,751.6000",9.0333,11.8352
002337.SZ,"261,110,547.8991",1.7400,"448,519,981.0000",4.3333,5.0543
002338.SZ,"111,490,963.8439",10.6400,"155,395,861.6000",25.0933,29.8587
002339.SZ,"244,138,727.9146",1.8300,"310,577,439.4000",5.4367,6.4884
002340.SZ,"1,283,553,338.7985",1.5700,"844,200,964.8000",4.9433,5.4042
002341.SZ,"294,542,600.0857",0.8600,"728,290,934.0000",2.6467,3.1675
002342.SZ,"272,506,700.6268",0.9200,"299,391,152.2000",3.2833,3.8228
002343.SZ,"399,685,952.4682",2.5600,"524,016,081.0000",5.3433,6.2639
002344.SZ,"254,211,218.9218",0.7300,"236,745,690.6000",3.4500,3.9342
002345.SZ,"182,535,370.3214",1.5800,"206,413,849.0000",5.9833,6.3859
002346.SZ,"38,180,920.3818",2.5400,"33,811,001.8000",8.7733,10.3100
002347.SZ,"491,443,969.1323",1.5900,"703,528,444.6000",4.0333,4.8796
002348.SZ,"243,927,737.5162",0.9400,"282,367,964.8000",2.9467,3.4141
002349.SZ,"217,519,633.5831",2.1400,"311,380,750.6000",7.1600,8.2080
002350.SZ,"163,782,070.3545",1.6300,"123,086,980.6000",4.5433,5.6982
002351.SZ,"366,077,920.8757",4.1300,"488,631,013.8000",12.7167,14.8819
002352.SZ,"249,477,101.7781",7.0400,"276,308,427.2000",37.0833,39.3480
002353.SZ,"169,027,325.8003",6.5100,"155,909,295.0000",28.2300,28.7270
002354.SZ,"1,712,152,677.3812",2.1400,"2,043,941,852.4000",4.3533,4.9620
002355.SZ,"399,644,599.0333",1.6600,"708,850,689.8000",3.8600,4.8014
002356.SZ,"174,666,077.4292",0.9500,"274,282,951.6000",4.2767,4.7233
002357.SZ,"247,894,792.0935",1.6500,"295,133,459.0000",5.4200,6.5205
002358.SZ,"299,622,287.8643",1.1200,"309,807,590.4000",3.3700,3.9254
002360.SZ,"110,333,515.1990",1.6600,"103,108,644.6000",5.4867,6.4430
002361.SZ,"249,317,109.5493",0.8900,"282,967,583.2000",2.8767,3.5002
002362.SZ,"256,212,268.8401",8.2800,"348,533,494.8000",18.4733,21.2735
002363.SZ,"182,164,243.1795",2.0300,"505,354,305.2000",5.8833,7.0673
002364.SZ,"182,589,548.5445",2.1100,"317,276,182.8000",5.3467,6.7214
002365.SZ,"101,786,093.0985",2.3100,"73,827,516.0000",6.7733,8.4658
002366.SZ,"277,919,596.1464",1.3700,"394,181,116.8000",4.1233,4.7851
002367.SZ,"172,349,077.8493",2.1600,"138,267,295.4000",6.7600,7.3705
002368.SZ,"241,463,021.7987",8.3600,"247,904,733.2000",24.9600,27.9685
002369.SZ,"468,071,329.0313",1.9600,"1,007,583,901.0000",3.7667,4.8774
002370.SZ,"220,632,807.6454",1.0700,"479,525,353.6000",3.2567,3.9368
002371.SZ,"86,333,582.7286",61.8700,"106,994,191.4000",265.3300,257.3530
002372.SZ,"186,199,633.7416",3.4700,"175,469,517.8000",14.9933,15.6239
002373.SZ,"310,155,820.4832",3.1600,"281,547,013.2000",9.5100,10.6956
002374.SZ,"218,856,400.8552",0.8100,"316,238,612.8000",2.7900,3.3393
002375.SZ,"250,698,365.8436",1.2400,"339,314,589.0000",3.6600,4.3130
002376.SZ,"192,315,351.2626",2.1300,"140,466,842.2000",5.5567,6.6735
002377.SZ,"904,812,646.1066",0.8200,"555,371,853.2000",1.8033,2.3184
002378.SZ,"172,091,017.9283",1.3100,"159,081,949.8000",4.5967,5.2278
002379.SZ,"205,820,102.7530",0.7900,"185,530,503.0000",4.0600,4.2942
002380.SZ,"127,658,485.1950",5.9600,"115,714,692.4000",13.4433,15.9708
002381.SZ,"203,825,609.9296",1.9000,"145,116,077.0000",6.6200,7.2557
002382.SZ,"195,732,632.6821",1.4500,"165,397,214.4000",5.1267,6.0759
002383.SZ,"217,800,734.8505",1.9700,"475,212,355.6000",5.9833,6.8190
002384.SZ,"569,796,241.8925",4.4700,"550,765,648.6000",13.8200,16.3078
002385.SZ,"979,388,342.5894",1.1100,"1,282,425,104.0000",4.9900,5.7727
002386.SZ,"191,526,784.7551",1.1500,"170,736,810.6000",4.2000,4.8904
002387.SZ,"288,296,414.7824",2.8900,"583,597,090.8000",7.9067,9.2869
002388.SZ,"234,746,556.1122",1.9000,"321,139,703.6000",3.7533,5.2014
002389.SZ,"239,431,645.7381",4.2500,"186,786,422.6000",14.1867,16.8522
002390.SZ,"393,009,718.4594",0.9000,"371,201,670.8000",3.7333,4.2285
002391.SZ,"96,928,426.4487",1.1600,"85,615,997.0000",5.0200,5.8503
002392.SZ,"286,089,309.6453",0.7800,"211,146,878.4000",3.1300,3.4996
002393.SZ,"38,530,175.2747",6.2900,"42,412,079.4000",21.5033,24.0923
002394.SZ,"135,627,658.5661",1.9700,"107,185,240.4000",6.5833,7.6395
002395.SZ,"283,531,501.2075",5.3400,"376,973,082.4000",12.0600,13.7630
002396.SZ,"139,644,904.5180",4.9900,"119,674,504.2000",15.3567,17.1199
002397.SZ,"269,262,194.1566",1.0400,"450,574,231.4000",2.6167,3.2902
002398.SZ,"217,820,535.9264",1.1000,"211,440,947.2000",3.7467,4.4963
002399.SZ,"112,401,779.7733",2.3600,"76,784,229.4000",8.3500,10.1936
002400.SZ,"2,613,417,230.0682",1.7000,"2,535,310,574.0000",5.6067,5.5773
002401.SZ,"358,224,591.8425",4.6700,"285,635,567.2000",16.1900,18.0000
002402.SZ,"318,282,670.7042",4.0300,"258,325,510.4000",11.4067,12.8160
002403.SZ,"242,001,859.6866",4.1300,"223,126,957.0000",7.6933,8.4169
002404.SZ,"104,250,113.5795",1.3300,"106,164,135.0000",4.8767,5.6261
002405.SZ,"626,782,987.4204",2.3100,"527,701,399.2000",6.9200,8.2695
002406.SZ,"495,064,774.4321",2.7900,"1,092,394,746.0000",5.7067,6.0468
002407.SZ,"295,313,450.3177",3.9700,"238,299,664.2000",12.4300,14.4184
002408.SZ,"373,330,903.4950",1.5400,"246,826,079.2000",4.6967,5.2270
002409.SZ,"147,122,359.3138",17.2100,"156,608,122.2000",44.7133,52.3101
002410.SZ,"574,910,824.9379",4.0800,"500,893,856.4000",12.7767,17.1354
002412.SZ,"219,741,243.2108",1.4800,"168,846,107.4000",4.9367,5.9589
002413.SZ,"500,911,676.8143",1.5600,"935,727,400.4000",3.8933,4.7777
002414.SZ,"462,294,453.0571",1.8600,"360,249,362.6000",5.8233,6.7834
002415.SZ,"489,417,547.9594",5.8100,"488,029,258.6000",33.4667,34.3351
002416.SZ,"183,089,290.0120",2.0800,"275,448,816.6000",8.6400,8.6682
002418.SZ,"419,396,370.6827",0.9500,"453,581,170.0000",2.2133,2.6838
002419.SZ,"287,467,297.6575",0.9200,"370,339,520.6000",4.5733,5.1728
002420.SZ,"225,570,855.9357",1.9200,"426,930,782.4000",3.8933,5.2261
002421.SZ,"539,193,958.1812",0.8600,"703,081,013.8000",2.7667,3.0597
002422.SZ,"240,937,266.0117",6.1700,"237,889,947.0000",25.6067,26.9941
002423.SZ,"1,702,341,467.1055",2.5300,"734,145,433.2000",8.3167,8.2426
002424.SZ,"498,434,746.8361",1.6700,"503,000,349.8000",7.5133,7.8397
002425.SZ,"550,001,419.8928",1.4900,"581,948,469.0000",3.1533,4.0307
002426.SZ,"1,076,998,636.2308",0.6300,"1,748,015,061.0000",1.6900,2.0891
002427.SZ,"201,466,614.3033",1.6100,"166,440,339.4000",3.6133,4.7311
002428.SZ,"335,095,276.5853",3.7300,"347,409,775.8000",9.8333,11.2836
002429.SZ,"651,552,592.5395",1.4700,"592,916,352.6000",5.0200,5.2840
002430.SZ,"108,799,108.6925",7.8400,"79,260,203.0000",26.6267,28.6355
002431.SZ,"315,574,004.1502",0.5500,"324,391,126.0000",2.0200,2.3443
002432.SZ,"164,891,515.0107",8.4000,"177,445,253.2000",37.9333,37.9532
002433.SZ,"140,753,532.5276",0.5900,"344,391,632.6000",1.9533,2.3504
002434.SZ,"261,867,284.4420",2.0600,"213,215,640.8000",5.7500,6.9356
002435.SZ,"316,952,319.4684",1.1000,"279,958,810.0000",3.0067,3.7635
002436.SZ,"622,315,374.7379",5.1700,"741,374,718.0000",11.6600,13.0583
002437.SZ,"965,831,984.5286",0.5500,"1,516,713,707.8000",1.9967,2.2775
002438.SZ,"106,795,497.5461",2.8100,"116,634,220.6000",9.6600,10.4582
002439.SZ,"301,979,536.6270",6.4000,"184,143,777.0000",20.6467,23.5558
002440.SZ,"107,790,577.8099",1.0900,"96,324,949.0000",5.6467,6.1176
002441.SZ,"91,842,744.9344",2.0600,"80,837,416.2000",7.3767,8.5530
002442.SZ,"321,315,130.1599",1.4600,"408,274,222.8000",4.2067,5.1264
002443.SZ,"274,100,026.3217",1.6300,"250,644,863.6000",5.6267,6.4195
002444.SZ,"212,238,703.7138",4.8800,"215,281,093.0000",21.0767,20.8257
002445.SZ,"1,063,204,613.7039",0.6200,"1,258,376,739.2000",1.9467,2.1827
002446.SZ,"747,116,472.5434",3.1300,"935,963,428.4000",6.3433,7.5703
002448.SZ,"260,375,242.0835",1.8600,"317,032,931.4000",5.5567,6.2729
002449.SZ,"222,278,473.0665",2.1600,"242,305,579.6000",6.4867,7.8008
002451.SZ,"269,706,414.5620",1.9100,"391,220,441.4000",5.1767,6.1564
002452.SZ,"253,985,347.1847",2.0700,"202,174,414.2000",5.3667,6.3277
002453.SZ,"236,088,679.3605",2.3400,"185,242,317.8000",6.8600,9.1328
002454.SZ,"168,077,666.2929",1.9800,"261,233,937.4000",5.5667,6.6982
002455.SZ,"235,418,739.4510",1.8400,"159,296,531.2000",4.7667,6.1415
002456.SZ,"2,384,548,534.6422",2.2500,"5,494,315,231.8000",7.4100,7.9312
002457.SZ,"281,842,724.2825",2.9200,"504,811,927.6000",7.5133,8.4141
002458.SZ,"235,355,643.1616",2.0700,"282,000,784.4000",10.1233,10.6845
002459.SZ,"1,013,479,687.8576",4.1200,"1,130,670,573.8000",17.9167,20.9300
002460.SZ,"383,330,433.5715",9.5700,"568,613,129.4000",37.0733,41.0957
002461.SZ,"150,237,236.1370",1.7500,"110,233,136.0000",7.5633,7.9200
002462.SZ,"81,998,928.6181",2.7800,"71,812,204.0000",11.4267,13.1206
002463.SZ,"934,074,432.9004",8.2500,"704,255,813.4000",24.3767,22.5875
002465.SZ,"588,818,701.9343",3.3700,"928,233,517.8000",10.6900,11.2969
002466.SZ,"484,667,436.6226",13.2300,"631,196,487.6000",49.6600,53.3632
002467.SZ,"1,667,866,255.4813",3.0400,"722,958,718.4000",4.2433,4.4153
002468.SZ,"233,700,224.1009",2.3000,"187,933,436.2000",7.5100,8.2513
002469.SZ,"204,861,675.4186",1.4600,"156,680,639.2000",4.9133,5.6355
002470.SZ,"538,121,573.1667",0.3700,"661,398,434.4000",1.4367,1.6460
002471.SZ,"534,196,718.9700",0.6200,"791,310,242.8000",2.5767,2.7997
002472.SZ,"322,610,717.2426",7.0400,"335,889,552.0000",22.4167,24.8140
002474.SZ,"302,962,010.1634",1.9000,"224,299,824.2000",4.7800,5.9620
002475.SZ,"1,356,956,176.6207",4.5200,"1,116,469,057.4000",27.2867,29.3354
002476.SZ,"192,459,486.4711",1.4000,"302,232,962.4000",4.6933,5.2587
002478.SZ,"412,336,700.7941",1.4900,"309,145,665.4000",5.3700,5.7149
002479.SZ,"254,508,080.3970",1.0700,"221,786,447.8000",3.8833,4.4160
002480.SZ,"163,168,721.9841",1.2700,"189,549,480.8000",3.6133,4.3346
002481.SZ,"289,208,115.9686",1.7600,"305,891,789.6000",4.3233,4.5269
002482.SZ,"192,667,409.9763",0.3100,"220,669,369.2000",1.7200,1.9160
002483.SZ,"324,124,663.8910",1.1900,"269,356,793.4000",4.0800,4.8013
002484.SZ,"154,585,736.3680",4.3000,"163,981,602.6000",15.2300,16.3087
002485.SZ,"46,844,671.2276",0.9700,"38,660,862.2000",3.0033,3.8191
002486.SZ,"320,349,749.0936",0.6800,"293,135,421.0000",2.2167,2.6359
002487.SZ,"225,081,584.6173",6.4800,"327,740,627.4000",20.2700,23.4708
002488.SZ,"286,534,759.5164",1.8900,"291,000,497.0000",5.3667,6.5258
002489.SZ,"289,810,729.2362",0.6700,"311,546,953.4000",2.5800,2.9202
002490.SZ,"212,410,246.6976",1.3600,"487,062,609.0000",3.0867,3.9466
002491.SZ,"293,718,472.9791",1.7500,"258,717,761.6000",4.4033,5.0160
002492.SZ,"177,288,823.8868",1.5500,"134,610,274.4000",4.4800,5.3796
002493.SZ,"445,652,508.1121",1.4400,"521,817,124.6000",9.8867,10.4807
002494.SZ,"352,021,995.0465",1.8100,"451,139,171.2000",3.5100,4.4854
002495.SZ,"380,257,175.7212",0.9200,"660,606,761.6000",2.1333,2.5972
002496.SZ,"407,867,260.2164",0.5000,"390,374,956.0000",1.5433,1.8540
002497.SZ,"314,355,838.4331",3.2400,"327,973,653.0000",10.4633,12.3237
002498.SZ,"404,531,459.7952",0.9000,"289,742,767.6000",3.5167,3.7515
002500.SZ,"565,751,915.0738",1.0800,"439,347,875.8000",5.1600,5.4060
002501.SZ,"599,777,099.0496",0.4100,"451,984,184.0000",1.1267,1.3368
002502.SZ,"249,917,053.5707",0.5700,"300,572,195.6000",1.8567,2.2285
002505.SZ,"1,297,084,859.2993",0.4100,"1,731,985,743.8000",1.2867,1.5056
002506.SZ,"1,263,689,126.9053",0.6700,"1,002,493,697.6000",2.4900,2.6611
002507.SZ,"232,181,221.9305",3.2500,"175,326,950.2000",13.5167,14.5888
002508.SZ,"165,647,618.9848",4.0300,"148,493,754.0000",23.8500,23.7723
002510.SZ,"595,892,562.5074",1.2000,"1,224,890,783.0000",3.7333,4.1998
002511.SZ,"147,432,667.9057",2.5800,"110,810,044.2000",8.8900,9.6269
002512.SZ,"795,780,612.8064",1.5500,"1,965,159,300.0000",4.0533,4.7210
002513.SZ,"169,784,441.6027",1.9600,"180,538,764.2000",4.1367,5.6012
002514.SZ,"351,444,776.1487",2.7800,"692,094,054.6000",6.3800,7.6050
002515.SZ,"191,616,978.5246",1.3700,"228,888,190.6000",4.6300,5.0643
002516.SZ,"263,830,140.2681",1.2700,"323,657,139.2000",3.9867,4.5102
002517.SZ,"1,165,101,170.0600",3.9200,"1,284,971,909.0000",11.5800,11.6480
002518.SZ,"207,085,805.2882",7.1400,"287,598,232.6000",21.5967,25.0075
002519.SZ,"437,209,669.7059",1.5500,"559,881,114.8000",4.4100,5.2676
002520.SZ,"406,233,200.7243",2.6200,"505,357,735.6000",4.9267,5.5617
002521.SZ,"113,317,369.3350",1.7900,"197,065,828.2000",7.4567,7.6714
002522.SZ,"206,272,685.4208",1.0800,"221,372,661.8000",3.6567,4.3061
002523.SZ,"1,192,942,419.3503",1.0200,"878,602,080.0000",2.9800,3.0144
002524.SZ,"188,331,737.7667",1.6400,"120,815,370.4000",4.3300,5.6347
002526.SZ,"742,244,466.7540",0.6600,"1,091,415,589.6000",2.3267,2.5627
002527.SZ,"454,985,463.5621",3.4000,"458,158,563.8000",7.9567,9.3096
002528.SZ,"571,438,608.4491",2.2700,"732,966,470.2000",6.4867,7.6365
002529.SZ,"168,803,019.9440",3.9300,"133,419,471.8000",7.5100,10.1045
002530.SZ,"272,193,913.3479",3.4200,"438,714,755.4000",7.4900,8.1130
002531.SZ,"420,334,001.1181",2.4800,"377,706,827.6000",9.4233,10.9516
002532.SZ,"626,730,949.5803",1.3800,"502,585,124.8000",5.4700,5.8405
002533.SZ,"237,029,760.7064",2.4600,"245,430,849.0000",8.2300,8.3015
002534.SZ,"100,621,315.2947",3.8500,"72,023,203.6000",9.4800,11.4395
002535.SZ,"380,843,626.3802",1.4000,"646,469,657.0000",4.0533,4.4603
002536.SZ,"271,688,072.3844",3.5400,"580,391,601.4000",11.1100,12.3926
002537.SZ,"325,699,736.1901",1.6600,"292,694,902.8000",5.2600,6.0659
002538.SZ,"158,965,075.9541",1.2000,"129,226,997.8000",4.7633,5.6011
002539.SZ,"155,529,805.3574",1.8800,"126,859,966.0000",7.3100,7.9921
002540.SZ,"445,466,158.8523",1.1900,"274,300,154.8000",5.1433,5.7746
002541.SZ,"92,738,739.8460",4.2200,"74,755,053.0000",16.7400,20.5872
002542.SZ,"510,415,320.6449",0.6000,"705,617,961.2000",2.0467,2.4266
002543.SZ,"83,172,280.5127",1.8200,"123,783,550.0000",8.6367,8.7063
002544.SZ,"161,076,454.8323",5.6600,"174,665,735.6000",14.5733,18.1639
002545.SZ,"169,158,019.1580",1.4400,"137,750,205.6000",6.5267,6.9657
002546.SZ,"285,515,712.9654",1.2700,"284,231,039.0000",3.7833,4.4438
002547.SZ,"540,524,184.6338",1.6000,"1,018,170,377.6000",3.6867,4.2450
002548.SZ,"367,646,199.7968",1.6300,"411,070,146.0000",4.1600,5.3330
002549.SZ,"190,264,935.1133",2.6700,"160,035,801.8000",6.8400,8.7905
002550.SZ,"238,066,284.4522",1.1200,"334,475,636.6000",4.8833,5.2806
002551.SZ,"343,552,223.5104",1.1000,"231,440,972.6000",2.7333,3.5280
002552.SZ,"45,267,176.3473",2.8000,"47,467,011.0000",12.1300,13.9600
002553.SZ,"208,555,726.9665",5.9100,"234,092,238.6000",10.3633,11.4261
002554.SZ,"279,356,625.9707",0.8000,"291,140,504.6000",2.5433,3.0320
002555.SZ,"856,454,229.9656",4.9700,"1,004,649,457.6000",18.4567,19.8998
002556.SZ,"202,147,562.2227",1.4200,"155,311,981.8000",4.7167,5.6571
002557.SZ,"77,291,326.0495",7.8700,"70,074,799.6000",33.4667,34.3870
002558.SZ,"871,292,234.1307",3.7700,"1,039,278,566.0000",10.4033,11.3389
002559.SZ,"1,070,707,829.7996",4.4500,"1,427,247,867.0000",9.2300,9.8757
002560.SZ,"171,064,478.6852",1.6800,"166,969,774.4000",5.7767,6.6891
002561.SZ,"349,620,797.3368",2.4200,"533,014,152.6000",8.2767,9.3111
002562.SZ,"141,171,237.2122",0.8400,"154,847,611.2000",2.9900,3.5791
002563.SZ,"288,347,797.1207",1.1700,"241,988,718.8000",5.4400,5.7042
002564.SZ,"248,171,847.9490",0.9300,"382,740,680.8000",3.6900,3.8272
002565.SZ,"391,079,298.4407",0.7500,"383,351,375.8000",2.5900,3.0445
002566.SZ,"148,397,250.6290",2.0200,"158,784,949.4000",6.3500,7.7057
002567.SZ,"589,769,950.8509",1.3300,"667,883,530.2000",5.7733,6.3985
002568.SZ,"220,643,334.1039",5.2800,"161,288,004.4000",20.4700,23.3971
002569.SZ,"20,408,491.8219",1.5700,"41,051,204.4000",5.2300,6.4403
002570.SZ,"291,382,942.7781",0.7000,"240,611,295.4000",3.1833,3.7214
002571.SZ,"219,980,447.6347",2.2700,"212,002,577.8000",4.3467,5.5808
002572.SZ,"161,770,924.8769",2.9700,"163,611,963.8000",16.0933,16.5416
002573.SZ,"147,236,821.4622",0.9500,"125,160,042.8000",4.4200,4.8740
002574.SZ,"171,991,057.7910",1.3400,"127,138,012.8000",4.4967,5.4276
002575.SZ,"199,137,892.2763",2.3600,"257,189,651.4000",5.2233,5.7560
002576.SZ,"86,597,015.8120",4.8600,"181,539,894.6000",12.5167,15.3347
002577.SZ,"114,187,195.3193",4.7800,"210,990,941.4000",12.3167,14.6677
002578.SZ,"547,541,232.1438",1.0600,"538,142,964.2000",2.8067,3.4465
002579.SZ,"334,524,782.4740",3.2100,"434,716,099.0000",6.8333,8.0071
002580.SZ,"234,727,729.4068",2.2600,"269,857,945.4000",6.3367,7.6469
002581.SZ,"106,704,607.3461",3.7600,"80,337,065.4000",10.8567,13.4466
002582.SZ,"202,013,819.5928",2.0200,"221,306,955.2000",5.8433,7.0060
002583.SZ,"533,181,744.3462",1.6200,"866,460,999.8000",4.6533,5.4781
002584.SZ,"927,431,266.9298",2.5000,"1,677,655,216.6000",6.9900,7.7405
002585.SZ,"259,083,154.4085",2.1100,"243,419,034.6000",6.0500,7.4800
002586.SZ,"83,875,877.2171",0.6500,"114,722,673.6000",2.9433,3.1715
002587.SZ,"518,218,780.8640",2.5000,"780,459,503.4000",5.6833,6.4983
002588.SZ,"271,471,195.1301",1.5900,"229,632,651.2000",5.7267,6.0941
002589.SZ,"420,272,688.0618",0.7600,"374,819,843.6000",2.4833,3.0095
002590.SZ,"356,921,488.6726",3.8200,"502,075,934.4000",11.1967,11.7281
002591.SZ,"379,111,768.0353",2.1000,"422,622,068.6000",4.3000,5.7510
002592.SZ,"83,328,510.0813",1.2800,"128,518,492.2000",5.0633,5.5634
002593.SZ,"293,552,384.4500",0.9700,"393,911,305.2000",3.0633,3.6134
002594.SZ,"199,689,728.3353",33.7500,"220,696,863.8000",183.4967,199.4614
